run,workload,wal_size,data_size,wal_data_ratio,wall_clock,wal_level,wal_log_hints,wal_compression,full_page_writes
220,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12024,8192,146.77734375,00:00:00.209957,minimal,off,on,off
221,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12280,8192,149.90234375,00:00:00.157434,minimal,on,on,off
222,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",11968,8192,146.09375,00:00:00.114114,minimal,on,on,on
223,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",20928,8192,255.46875,00:00:00.10668,minimal,on,off,on
224,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",23688,8192,289.16015625,00:00:00.266881,minimal,off,off,on
225,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",20496,8192,250.1953125,00:00:00.145867,minimal,off,off,off
226,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12016,8192,146.6796875,00:00:00.109053,minimal,off,on,off
227,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12272,8192,149.8046875,00:00:00.101468,minimal,on,on,off
228,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",11960,8192,145.99609375,00:00:00.165799,minimal,on,on,on
229,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12872,8192,157.12890625,00:00:00.082202,replica,on,off,on
230,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",23728,8192,289.6484375,00:00:00.113793,replica,off,off,on
231,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",17048,8192,208.10546875,00:00:00.067675,replica,off,off,off
232,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10240,8192,125,00:00:00.092042,replica,off,on,off
233,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12352,8192,150.78125,00:00:00.089406,replica,on,on,off
234,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",11992,8192,146.38671875,00:00:00.391175,replica,on,on,on
235,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",13952,8192,170.3125,00:00:00.076132,replica,on,off,on
236,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",22520,8192,274.90234375,00:00:00.061032,replica,off,off,on
237,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",15840,8192,193.359375,00:00:00.085025,replica,off,off,off
238,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12072,8192,147.36328125,00:00:00.116741,replica,off,on,off
239,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10520,8192,128.41796875,00:00:00.074767,replica,on,on,off
240,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10160,8192,124.0234375,00:00:00.075217,replica,on,on,on
241,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",21000,8192,256.34765625,00:00:00.084159,logical,on,off,on
242,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",17280,8192,210.9375,00:00:00.086673,logical,off,off,on
243,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",20512,8192,250.390625,00:00:00.078116,logical,off,off,off
244,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10248,8192,125.09765625,00:00:00.072179,logical,off,on,off
245,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",12352,8192,150.78125,00:00:00.107541,logical,on,on,off
246,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10192,8192,124.4140625,00:00:00.083182,logical,on,on,on
247,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",17832,8192,217.67578125,00:00:00.090461,logical,on,off,on
248,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",23304,8192,284.47265625,00:00:00.076021,logical,off,off,on
249,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",20488,8192,250.09765625,00:00:00.463933,logical,off,off,off
250,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10224,8192,124.8046875,00:00:00.105349,logical,off,on,off
251,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10528,8192,128.515625,00:00:00.085613,logical,on,on,off
252,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",10168,8192,124.12109375,00:00:00.074914,logical,on,on,on
253,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",115848,81920,141.416015625,00:00:00.118372,minimal,on,off,on
254,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",118584,81920,144.755859375,00:00:00.10397,minimal,off,off,on
255,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",115416,81920,140.888671875,00:00:00.226623,minimal,off,off,off
256,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98856,81920,120.673828125,00:00:00.087,minimal,off,on,off
257,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",99136,81920,121.015625,00:00:00.131695,minimal,on,on,off
258,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98808,81920,120.615234375,00:00:00.167322,minimal,on,on,on
259,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",115696,81920,141.23046875,00:00:00.22183,minimal,on,off,on
260,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",118432,81920,144.5703125,00:00:00.100018,minimal,off,off,on
261,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",115728,81920,141.26953125,00:00:00.143862,minimal,off,off,off
262,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",99152,81920,121.03515625,00:00:00.118292,minimal,off,on,off
263,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98816,81920,120.625,00:00:00.22527,minimal,on,on,off
264,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98864,81920,120.68359375,00:00:00.090495,minimal,on,on,on
265,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",118512,81920,144.66796875,00:00:00.082333,replica,on,off,on
266,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",107784,81920,131.572265625,00:00:00.07987,replica,off,off,on
267,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",113344,81920,138.359375,00:00:00.079571,replica,off,off,off
268,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",97032,81920,118.447265625,00:00:00.07318,replica,off,on,off
269,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98920,81920,120.751953125,00:00:00.139946,replica,on,on,off
270,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",107008,81920,130.625,00:00:00.217929,replica,on,on,on
271,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",137112,81920,167.373046875,00:00:00.149658,replica,on,off,on
272,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",114816,81920,140.15625,00:00:00.256797,replica,off,off,on
273,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",107352,81920,131.044921875,00:00:00.078871,replica,off,off,off
274,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",97368,81920,118.857421875,00:00:00.079132,replica,off,on,off
275,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",97080,81920,118.505859375,00:00:00.078831,replica,on,on,off
276,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98824,81920,120.634765625,00:00:00.088934,replica,on,on,on
277,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",111168,81920,135.703125,00:00:00.14446,logical,on,off,on
278,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",114016,81920,139.1796875,00:00:00.083233,logical,off,off,on
279,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",108456,81920,132.392578125,00:00:00.091459,logical,off,off,off
280,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",97376,81920,118.8671875,00:00:00.092508,logical,off,on,off
281,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",97032,81920,118.447265625,00:00:00.086546,logical,on,on,off
282,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",97152,81920,118.59375,00:00:00.084608,logical,on,on,on
283,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",111776,81920,136.4453125,00:00:00.086939,logical,on,off,on
284,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",111392,81920,135.9765625,00:00:00.086486,logical,off,off,on
285,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",110072,81920,134.365234375,00:00:00.078288,logical,off,off,off
286,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",97432,81920,118.935546875,00:00:00.085144,logical,off,on,off
287,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98376,81920,120.087890625,00:00:00.067514,logical,on,on,off
288,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 1000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",98856,81920,120.673828125,00:00:00.111443,logical,on,on,on
289,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",977664,770048,126.961436170213,00:00:00.143802,minimal,on,off,on
290,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",980744,770048,127.361411236702,00:00:00.215707,minimal,off,off,on
291,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",979552,770048,127.206615691489,00:00:00.242785,minimal,off,off,off
292,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965096,770048,125.329330119681,00:00:00.138902,minimal,off,on,off
293,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",964864,770048,125.29920212766,00:00:00.170105,minimal,on,on,off
294,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965104,770048,125.330369015957,00:00:00.197819,minimal,on,on,on
295,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",981120,770048,127.410239361702,00:00:00.12546,minimal,on,off,on
296,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",977912,770048,126.993641954787,00:00:00.139469,minimal,off,off,on
297,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",979792,770048,127.237782579787,00:00:00.362956,minimal,off,off,off
298,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965120,770048,125.332446808511,00:00:00.15577,minimal,off,on,off
299,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",964832,770048,125.295046542553,00:00:00.141921,minimal,on,on,off
300,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965080,770048,125.327252327128,00:00:00.134837,minimal,on,on,on
301,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",979680,770048,127.223238031915,00:00:00.185072,replica,on,off,on
302,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",978856,770048,127.116231715426,00:00:00.137262,replica,off,off,on
303,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",977440,770048,126.932347074468,00:00:00.134829,replica,off,off,off
304,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",964816,770048,125.29296875,00:00:00.12212,replica,off,on,off
305,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965016,770048,125.318941156915,00:00:00.14966,replica,on,on,off
306,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965384,770048,125.366730385638,00:00:00.118147,replica,on,on,on
307,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",974344,770048,126.530294215426,00:00:00.127604,replica,on,off,on
308,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",981616,770048,127.474650930851,00:00:00.25456,replica,off,off,on
309,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",976760,770048,126.844040890957,00:00:00.127737,replica,off,off,off
310,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",963680,770048,125.145445478723,00:00:00.126692,replica,off,on,off
311,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",963960,770048,125.181806848404,00:00:00.120665,replica,on,on,off
312,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",964776,770048,125.287774268617,00:00:00.144969,replica,on,on,on
313,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",980920,770048,127.384266954787,00:00:00.132079,logical,on,off,on
314,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",973920,770048,126.475232712766,00:00:00.133288,logical,off,off,on
315,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",980024,770048,127.267910571808,00:00:00.145831,logical,off,off,off
316,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965208,770048,125.343874667553,00:00:00.147539,logical,off,on,off
317,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",963648,770048,125.141289893617,00:00:00.183238,logical,on,on,off
318,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965344,770048,125.361535904255,00:00:00.136074,logical,on,on,on
319,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",973920,770048,126.475232712766,00:00:00.137273,logical,on,off,on
320,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",977144,770048,126.893907912234,00:00:00.140148,logical,off,off,on
321,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",978120,770048,127.020653257979,00:00:00.133138,logical,off,off,off
322,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",963632,770048,125.139212101064,00:00:00.1153,logical,off,on,off
323,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",963920,770048,125.176612367021,00:00:00.12213,logical,on,on,off
324,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 10000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",965064,770048,125.325174534574,00:00:00.237496,logical,on,on,on
325,"'DO $wl$ DECLARE
  i int;
BEGIN
  FOR i IN 1 .. 100000 LOOP
    INSERT INTO wal_traffic_workload SELECT 1, md5( random()::text )::text;
  END LOOP;
END $wl$;'",9643936,7659520,125.907837566845,00:00:00.641596,minimal,on,off,on
